title,year,doi,url,source_query,abstract,category,relevance_score,problem_claimed,mechanism_introduced,hidden_assumptions,failure_modes_ignored,what_makes_less_novel,what_it_leaves_open
Vision-Language-Action and Vision Language Models for Robot Manipulation: A Comprehensive Review Towards Real-World Applications,2026,10.20944/preprints202606.0400.v1,https://doi.org/10.20944/preprints202606.0400.v1,physics reasoning robot world models,"The convergence of vision, language, and action modeling has catalyzed a paradigm shift in robotic manipulation, enabling robots to interpret natural language commands and execute complex tasks through learned sensorimotor policies. This comprehensive review synthesizes recent advances in Vision-Language-Action (VLA) models and Vision-Language Models (VLMs) for robotic manipulation, establishing a systematic taxonomy spanning end-to-end transformer architectures, diffusion-based policies, and modular frameworks. We analyze foundational models including RT-1, RT-2, PaLM-E, Octo, and OpenVLA, examining their architectural innovations, training methodologies, and empirical performance across manipulation, grasping, and force control tasks. Quantitative analysis reveals that foundation model integration yields substantial generalization improvements (RT-2 achieves 85% success on novel object",world-model|uncertainty|embodied-manipulation|planning-control,12,planning with learned predictive models,learned predictive representation,rollout errors preserve action-relevant structure,miscalibration under embodied distribution shift,can collapse into a standard uncertainty bonus,which physical observation would actually distinguish the candidate models?
Pre- and post-contact policy decomposition for planar contact manipulation under uncertainty,2016,10.1177/0278364915594474,https://doi.org/10.1177/0278364915594474,contact-rich manipulation world model uncertainty,"We consider the problem of using real-time feedback from contact sensors to create closed-loop pushing actions. To do so, we formulate the problem as a partially observable Markov decision process (POMDP) with a transition model based on a physics simulator and a reward function that drives the robot towards a successful grasp. We demonstrate that it is intractable to solve the full POMDP with traditional techniques and introduce a novel decomposition of the policy into pre- and post-contact stages to reduce the computational complexity. Our method uses an offline point-based solver on a variable-resolution discretization of the state space to solve for a post-contact policy as a pre-computation step. Then, at runtime, we use an A* search to compute a pre-contact trajectory. We prove that the value of the resulting policy is within a bound of the value of the optimal policy and give intu",uncertainty|embodied-manipulation|planning-control,9,embodied prediction under contact ambiguity,learned predictive representation,contact observations are timely and geometrically aligned,miscalibration under embodied distribution shift,can collapse into a standard uncertainty bonus,which physical observation would actually distinguish the candidate models?
Neuro-Symbolic Task Planning for Tabletop Manipulation under Perceptual Uncertainty,2026,10.2139/ssrn.6555972,https://doi.org/10.2139/ssrn.6555972,contact-rich manipulation world model uncertainty,"Robotic manipulation in unstructured environments requires reliable symbolic reasoning from noisy perceptual input, yet existing neuro-symbolic systems treat perception as a deterministic oracle and cannot quantify or act on prediction uncertainty. We present a neuro-symbolic framework for tabletop manipulation that explicitly propagates uncertainty from visual perception to symbolic task planning. A hybrid Transformer-GNN architecture extracts probabilistic symbolic states (spatial predicates with calibrated confidence scores) from RGB-D observations, and an uncertainty-aware PDDL planner actively triggers information-gathering actions (look\_closer, push\_obstacle) when predicate confidence falls below a learned threshold. Evaluated on 10,047 PyBullet-simulated scenes (3--10 objects, Franka and UR5 platforms), the system achieves 94\%/90\%/88\% task success on Simple Stack, Deep Stack,",uncertainty|active-probing|embodied-manipulation|planning-control,8,planning with learned predictive models,active data acquisition,uncertainty scores are calibrated enough to guide action,"query cost, unsafe probes, and exploration bias",can collapse into a standard uncertainty bonus,which physical observation would actually distinguish the candidate models?
"New methods for bridging symbolic-geometric reasoning, addressing uncertainty and action learning in task planning for robotics",2026,10.5821/dissertation-2117-452751,https://doi.org/10.5821/dissertation-2117-452751,robot foundation model uncertainty action planning,"(English) The physical world exhibits a wide range of obstacles to the application of robotics in a large number of tasks. Scripted behavior and/or teleoperated programs are still used in many industries (e.g. car assembly) because they are robust and reliable. However, their scope is limited and falls short in less controlled environments. We explore the possibilities of task planning, or Artificial Intelligence (AI) planning, for solving tasks in a more flexible, non-scripted way. In contrast to motion planning, AI planning focuses on high-level decision-making, rather than on concerns such as computation of trajectories and dynamics. Task planning is a very powerful tool for virtual situated agents (e.g. videogames or web services). One of its main advantages is that it allows deliberative, explainable, and adaptive behavior as long as a reliable model of the environment is available.",uncertainty|embodied-manipulation|planning-control,8,planning with learned predictive models,learned predictive representation,uncertainty scores are calibrated enough to guide action,miscalibration under embodied distribution shift,can collapse into a standard uncertainty bonus,which physical observation would actually distinguish the candidate models?
Learning contact-rich whole-body manipulation with example-guided reinforcement learning,2025,10.1126/scirobotics.ads6790,https://doi.org/10.1126/scirobotics.ads6790,contact-rich manipulation world model uncertainty,"Humans use diverse skills and strategies to effectively manipulate various objects, ranging from dexterous in-hand manipulation (fine motor skills) to complex whole-body manipulation (gross motor skills). The latter involves full-body engagement and extensive contact with various body parts beyond just the hands, where the compliance of our skin and muscles plays a crucial role in increasing contact stability and mitigating uncertainty. For robots, synthesizing these contact-rich behaviors has fundamental challenges because of the rapidly growing combinatorics inherent to this amount of contact, making explicit reasoning about all contact interactions intractable. We explore the use of example-guided reinforcement learning to generate robust whole-body skills for the manipulation of large and unwieldy objects. Our method’s effectiveness is demonstrated on Toyota Research Institute’s Puny",uncertainty|embodied-manipulation|sim2real,8,embodied prediction under contact ambiguity,learned predictive representation,contact observations are timely and geometrically aligned,miscalibration under embodied distribution shift,can collapse into a standard uncertainty bonus,which physical observation would actually distinguish the candidate models?
Uncertainty-Aware Navigation for Offroad Robotics,2025,10.54718/wjcj8348,https://doi.org/10.54718/wjcj8348,active learning robotics uncertainty ensemble,"Autonomous off-road navigation presents challenges due to the unpredictable and unstructured nature of real-world terrains, where traditional and learning-based navigation systems often fail to adequately address uncertainty and complex robot-terrain interactions. This thesis surveys recent advances in off-road navigation frameworks, focusing on self-supervised terrain traversability estimation, uncertainty quantification in deep learning, and the integration of physics-based robot-terrain interaction models. It compares geometric, semantic, and hybrid methods for traversability estimation, highlighting the limitations of each in handling deformable and novel terrains. This work emphasizes the necessity of explicit end-to-end uncertainty quantification to distinguish between aleatoric and epistemic uncertainty-to improve risk-aware planning and decision-making in off-road environments. B",uncertainty|planning-control,8,planning with learned predictive models,learned predictive representation,uncertainty scores are calibrated enough to guide action,miscalibration under embodied distribution shift,can collapse into a standard uncertainty bonus,which physical observation would actually distinguish the candidate models?
Primitive Action Based Combined Task and Motion Planning for the Service Robot,2022,10.3389/frobt.2022.713470,https://doi.org/10.3389/frobt.2022.713470,robot foundation model uncertainty action planning,"The need for combined task and motion planning (CTAMP) in robotics is well known as robotic technologies become more mature. The goal of CTAMP is to determine a proper sequence of a robot’s actions based on symbolic and geometric reasoning. Because of the fundamental difference in symbolic and geometric reasoning, a CTAMP system often requires an interface module between the two reasoning modules. We propose a CTAMP system in which a symbolic action sequence is generated in task planning, and each action is verified geometrically in motion planning using the off-the-shelf planners and reasoners. The approach is that a set of action models is defined with PDDL in the interface module (action library) and the required information to each planner is automatically provided by the interface module. The proposed method was successfully implemented in three simulated experiments that involve ma",uncertainty|embodied-manipulation|planning-control,8,planning with learned predictive models,learned predictive representation,uncertainty scores are calibrated enough to guide action,miscalibration under embodied distribution shift,can collapse into a standard uncertainty bonus,which physical observation would actually distinguish the candidate models?
Considering Human Behavior Uncertainty and Disagreements in Human–Robot Cooperative Manipulation,2017,10.1007/978-3-319-40533-9_10,https://doi.org/10.1007/978-3-319-40533-9_10,safe probing robot manipulation uncertainty,,model-disagreement|uncertainty|embodied-manipulation,8,choosing robot actions under model uncertainty,ensemble disagreement,uncertainty scores are calibrated enough to guide action,miscalibration under embodied distribution shift,can collapse into a standard uncertainty bonus,which physical observation would actually distinguish the candidate models?
Active Policy Learning for Robot Planning and Exploration under Uncertainty,2008,10.7551/mitpress/7830.003.0041,https://doi.org/10.7551/mitpress/7830.003.0041,embodied uncertainty planning robot model disagreement,,uncertainty|active-probing|planning-control,8,planning with learned predictive models,active data acquisition,uncertainty scores are calibrated enough to guide action,"query cost, unsafe probes, and exploration bias",can collapse into a standard uncertainty bonus,which physical observation would actually distinguish the candidate models?
Active Policy Learning for Robot Planning and Exploration under Uncertainty,2007,10.15607/rss.2007.iii.041,https://doi.org/10.15607/rss.2007.iii.041,embodied uncertainty planning robot model disagreement,,uncertainty|active-probing|planning-control,8,planning with learned predictive models,active data acquisition,uncertainty scores are calibrated enough to guide action,"query cost, unsafe probes, and exploration bias",can collapse into a standard uncertainty bonus,which physical observation would actually distinguish the candidate models?
