model_family,strategy,resolution,unsafe,probe_cost,utility,post_error,info_gain,model_elim,task_success,gate_precision,gate_recall,abort_rate,false_abstain,reversibility,signature_match,value_info,policy_cost,recovery,weight
m00,s00,0.381454,0.380291,0.162600,-0.215322,0.702168,0.470137,0.256362,0.088211,0.542850,0.441000,0.063000,0.026124,0.760097,0.611800,0.133114,0.070000,0.088031,2013265920
m00,s01,0.581594,0.249836,0.274800,0.214943,0.579492,0.553930,0.390197,0.312952,0.645800,0.559800,0.067250,0.028035,0.755556,0.611800,0.270288,0.110000,0.256925,2013265920
m00,s02,0.453568,0.264057,0.150000,0.074842,0.640659,0.498113,0.304927,0.204181,0.563150,0.488400,0.093000,0.038787,0.776313,0.611800,0.246893,0.090000,0.178490,2013265920
m00,s03,0.557450,0.312178,1.377380,-0.329316,0.605942,0.537216,0.374252,0.252581,0.515450,0.491875,0.149750,0.063112,0.549610,0.611800,-0.193002,0.130000,0.214392,2013265920
m00,s04,0.723865,0.138175,1.301500,0.211048,0.487555,0.611945,0.485887,0.487248,0.784944,0.668675,0.090875,0.038200,0.584149,0.611800,0.038909,0.180000,0.388662,2013265920
m00,s05,0.678720,0.165350,0.807796,0.325716,0.514663,0.591433,0.455643,0.435219,0.739508,0.633216,0.109937,0.046343,0.669755,0.611800,0.221874,0.210000,0.350699,2013265920
m00,s06,0.657432,0.103159,0.819635,0.367972,0.508695,0.576320,0.441281,0.450871,0.820430,0.581358,0.186703,0.078690,0.675087,0.611800,0.212722,0.230000,0.367675,2013265920
m00,s07,0.000000,0.000000,0.000000,0.000000,0.737000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.422093,1.000000,0.000000,-0.016884,0.030000,0.000000,2013265920
m00,s08,0.927957,0.039596,0.733600,0.841357,0.371068,0.701222,0.622160,0.705609,0.916700,0.888126,0.046875,0.019735,0.698201,0.611800,0.406130,0.220000,0.548997,2013265920
m01,s00,0.382510,0.376219,0.162600,-0.207353,0.700675,0.467991,0.257345,0.090867,0.546850,0.441560,0.063000,0.026019,0.760586,0.599800,0.133900,0.070000,0.090189,2013265920
m01,s01,0.582602,0.244964,0.274800,0.224379,0.577820,0.551789,0.391292,0.316605,0.651400,0.560808,0.067250,0.027922,0.756140,0.599800,0.271656,0.110000,0.259757,2013265920
m01,s02,0.454344,0.263985,0.150000,0.075623,0.640291,0.495859,0.305774,0.204823,0.563150,0.488400,0.093000,0.038631,0.776322,0.599800,0.244690,0.090000,0.178959,2013265920
m01,s03,0.557610,0.312105,1.377380,-0.329290,0.605852,0.534716,0.374761,0.252748,0.515450,0.491875,0.149750,0.062860,0.549619,0.599800,-0.195450,0.130000,0.214515,2013265920
m01,s04,0.721257,0.138103,1.301500,0.207656,0.488710,0.608302,0.484660,0.485277,0.783984,0.667666,0.090875,0.038047,0.584158,0.599800,0.035318,0.180000,0.387232,2013265920
m01,s05,0.677120,0.163857,0.806731,0.326650,0.515010,0.588214,0.455055,0.434870,0.740533,0.632729,0.109852,0.046122,0.670126,0.599800,0.220214,0.210000,0.350496,2013265920
m01,s06,0.656051,0.102115,0.818660,0.368382,0.509056,0.573186,0.440826,0.450423,0.821779,0.580986,0.186676,0.078365,0.675387,0.599800,0.210797,0.230000,0.367386,2013265920
m01,s07,0.000000,0.000000,0.000000,0.000000,0.737000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.420413,1.000000,0.000000,-0.016817,0.030000,0.000000,2013265920
m01,s08,0.926453,0.039564,0.733600,0.839258,0.371737,0.698070,0.621821,0.704467,0.916700,0.887286,0.046875,0.019656,0.698204,0.599800,0.403001,0.220000,0.548168,2013265920
m02,s00,0.379087,0.392146,0.162600,-0.238190,0.706197,0.472051,0.251380,0.081102,0.530850,0.439320,0.063000,0.026442,0.758674,0.627800,0.126491,0.070000,0.082163,2013265920
m02,s01,0.578171,0.264092,0.274800,0.186162,0.584596,0.555078,0.382724,0.301899,0.629000,0.556776,0.067250,0.028374,0.753845,0.627800,0.261172,0.110000,0.248376,2013265920
m02,s02,0.452041,0.263913,0.150000,0.073526,0.641310,0.500262,0.299854,0.203087,0.563150,0.488400,0.093000,0.039256,0.776330,0.627800,0.249146,0.090000,0.177701,2013265920
